goos: linux
goarch: amd64
pkg: github.com/soumitradev/barkov
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkBuild-4                  	       3	 407910943 ns/op	268727634 B/op	 1881856 allocs/op
BenchmarkBuild-4                  	       3	 344952572 ns/op	268673053 B/op	 1881853 allocs/op
BenchmarkBuild-4                  	       4	 275499313 ns/op	268704888 B/op	 1881855 allocs/op
BenchmarkBuild-4                  	       4	 279377878 ns/op	268677592 B/op	 1881853 allocs/op
BenchmarkBuild-4                  	       4	 279805976 ns/op	268691240 B/op	 1881854 allocs/op
BenchmarkCompress-4               	       3	 383956493 ns/op	165816773 B/op	 1104870 allocs/op
BenchmarkCompress-4               	       3	 375983301 ns/op	165816778 B/op	 1104870 allocs/op
BenchmarkCompress-4               	       3	 407118660 ns/op	165816773 B/op	 1104870 allocs/op
BenchmarkCompress-4               	       3	 387180062 ns/op	165816768 B/op	 1104870 allocs/op
BenchmarkCompress-4               	       3	 397562701 ns/op	165816768 B/op	 1104870 allocs/op
BenchmarkConstructState-4         	41193896	        34.13 ns/op	      48 B/op	       1 allocs/op
BenchmarkConstructState-4         	35326671	        34.09 ns/op	      48 B/op	       1 allocs/op
BenchmarkConstructState-4         	41249628	        32.79 ns/op	      48 B/op	       1 allocs/op
BenchmarkConstructState-4         	41322012	        32.82 ns/op	      48 B/op	       1 allocs/op
BenchmarkConstructState-4         	41334904	        33.57 ns/op	      48 B/op	       1 allocs/op
BenchmarkDeconstructState-4       	28545723	        48.29 ns/op	      64 B/op	       1 allocs/op
BenchmarkDeconstructState-4       	28332127	        48.89 ns/op	      64 B/op	       1 allocs/op
BenchmarkDeconstructState-4       	28833202	        48.30 ns/op	      64 B/op	       1 allocs/op
BenchmarkDeconstructState-4       	26483245	        51.58 ns/op	      64 B/op	       1 allocs/op
BenchmarkDeconstructState-4       	25303131	        51.28 ns/op	      64 B/op	       1 allocs/op
BenchmarkChooseToken-4            	100000000	        11.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkChooseToken-4            	100000000	        11.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkChooseToken-4            	100000000	        11.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkChooseToken-4            	100000000	        11.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkChooseToken-4            	100000000	        11.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveUncompressed-4       	228295386	         5.262 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveUncompressed-4       	216029739	         5.360 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveUncompressed-4       	197291758	         5.790 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveUncompressed-4       	227954322	         5.259 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveUncompressed-4       	225969480	         5.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveCompressed-4         	236324544	         5.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveCompressed-4         	235894250	         5.085 ns/op	       0 B/op	       0 allocs/op
BenchmarkMoveCompressed-4         	238705754	         5.124 ns/op	       0 B/op	       0 allocs/op
